title,genre,price,star_rating,stock_availability,book_image,last_updated_at_UTC
It's Only the Himalayas,Travel,45.17,Two,In stock,https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,07-Jun-2022 14:24:47
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,49.43,Four,In stock,https://books.toscrape.com/media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg,07-Jun-2022 14:24:47
See America: A Celebration of Our National Parks & Treasured Sites,Travel,48.87,Three,In stock,https://books.toscrape.com/media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg,07-Jun-2022 14:24:47
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,36.94,Two,In stock,https://books.toscrape.com/media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg,07-Jun-2022 14:24:47
Under the Tuscan Sun,Travel,37.33,Three,In stock,https://books.toscrape.com/media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,07-Jun-2022 14:24:47
A Summer In Europe,Travel,44.34,Two,In stock,https://books.toscrape.com/media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg,07-Jun-2022 14:24:47
The Great Railway Bazaar,Travel,30.54,One,In stock,https://books.toscrape.com/media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,07-Jun-2022 14:24:47
A Year in Provence (Provence #1),Travel,56.88,Four,In stock,https://books.toscrape.com/media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg,07-Jun-2022 14:24:47
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,23.21,One,In stock,https://books.toscrape.com/media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg,07-Jun-2022 14:24:47
Neither Here nor There: Travels in Europe,Travel,38.95,Three,In stock,https://books.toscrape.com/media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg,07-Jun-2022 14:24:47
"1,000 Places to See Before You Die",Travel,26.08,Five,In stock,https://books.toscrape.com/media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg,07-Jun-2022 14:24:47
Sharp Objects,Mystery,47.82,Four,In stock,https://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,07-Jun-2022 14:24:48
"In a Dark, Dark Wood",Mystery,19.63,One,In stock,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,07-Jun-2022 14:24:48
The Past Never Ends,Mystery,56.50,Four,In stock,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg,07-Jun-2022 14:24:48
A Murder in Time,Mystery,16.64,One,In stock,https://books.toscrape.com/media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg,07-Jun-2022 14:24:48
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,44.10,Four,In stock,https://books.toscrape.com/media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg,07-Jun-2022 14:24:48
The Last Mile (Amos Decker #2),Mystery,54.21,Two,In stock,https://books.toscrape.com/media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg,07-Jun-2022 14:24:48
That Darkness (Gardiner and Renner #1),Mystery,13.92,One,In stock,https://books.toscrape.com/media/cache/44/9e/449ed681142bc336646abee754e96639.jpg,07-Jun-2022 14:24:48
Tastes Like Fear (DI Marnie Rome #3),Mystery,10.69,One,In stock,https://books.toscrape.com/media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg,07-Jun-2022 14:24:48
A Time of Torment (Charlie Parker #14),Mystery,48.35,Five,In stock,https://books.toscrape.com/media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg,07-Jun-2022 14:24:48
A Study in Scarlet (Sherlock Holmes #1),Mystery,16.73,Two,In stock,https://books.toscrape.com/media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg,07-Jun-2022 14:24:48
Poisonous (Max Revere Novels #3),Mystery,26.80,Three,In stock,https://books.toscrape.com/media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg,07-Jun-2022 14:24:48
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,54.36,Four,In stock,https://books.toscrape.com/media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg,07-Jun-2022 14:24:48
Most Wanted,Mystery,35.28,Three,In stock,https://books.toscrape.com/media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg,07-Jun-2022 14:24:48
Hide Away (Eve Duncan #20),Mystery,11.84,One,In stock,https://books.toscrape.com/media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg,07-Jun-2022 14:24:48
Boar Island (Anna Pigeon #19),Mystery,59.48,Three,In stock,https://books.toscrape.com/media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg,07-Jun-2022 14:24:48
The Widow,Mystery,27.26,Two,In stock,https://books.toscrape.com/media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg,07-Jun-2022 14:24:48
Playing with Fire,Mystery,13.71,Three,In stock,https://books.toscrape.com/media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg,07-Jun-2022 14:24:48
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,25.37,Five,In stock,https://books.toscrape.com/media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg,07-Jun-2022 14:24:48
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,52.30,Five,In stock,https://books.toscrape.com/media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg,07-Jun-2022 14:24:48
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,20.89,Four,In stock,https://books.toscrape.com/media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg,07-Jun-2022 14:24:48
The Mysterious Affair at Styles (Hercule Poirot #1),Mystery,24.80,Four,In stock,https://books.toscrape.com/media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg,07-Jun-2022 14:24:50
In the Woods (Dublin Murder Squad #1),Mystery,38.38,Two,In stock,https://books.toscrape.com/media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg,07-Jun-2022 14:24:50
The Silkworm (Cormoran Strike #2),Mystery,23.05,Five,In stock,https://books.toscrape.com/media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg,07-Jun-2022 14:24:50
The Exiled,Mystery,43.45,Three,In stock,https://books.toscrape.com/media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg,07-Jun-2022 14:24:50
The Cuckoo's Calling (Cormoran Strike #1),Mystery,19.21,One,In stock,https://books.toscrape.com/media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg,07-Jun-2022 14:24:50
Extreme Prey (Lucas Davenport #26),Mystery,25.40,Three,In stock,https://books.toscrape.com/media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg,07-Jun-2022 14:24:50
Career of Evil (Cormoran Strike #3),Mystery,24.72,Two,In stock,https://books.toscrape.com/media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg,07-Jun-2022 14:24:50
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,57.70,Four,In stock,https://books.toscrape.com/media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg,07-Jun-2022 14:24:50
The Girl You Lost,Mystery,12.29,Five,In stock,https://books.toscrape.com/media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg,07-Jun-2022 14:24:50
The Girl In The Ice (DCI Erika Foster #1),Mystery,15.85,Three,In stock,https://books.toscrape.com/media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg,07-Jun-2022 14:24:50
Blood Defense (Samantha Brinkman #1),Mystery,20.30,Three,In stock,https://books.toscrape.com/media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg,07-Jun-2022 14:24:50
1st to Die (Women's Murder Club #1),Mystery,53.98,One,In stock,https://books.toscrape.com/media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg,07-Jun-2022 14:24:50
Tipping the Velvet,Historical Fiction,53.74,One,In stock,https://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,07-Jun-2022 14:24:51
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,29.69,Three,In stock,https://books.toscrape.com/media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg,07-Jun-2022 14:24:51
A Flight of Arrows (The Pathfinders #2),Historical Fiction,55.53,Five,In stock,https://books.toscrape.com/media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg,07-Jun-2022 14:24:51
The House by the Lake,Historical Fiction,36.95,One,In stock,https://books.toscrape.com/media/cache/0d/cb/0dcb33d60b0e79adf8ab9842e697ea2e.jpg,07-Jun-2022 14:24:51
Mrs. Houdini,Historical Fiction,30.25,Five,In stock,https://books.toscrape.com/media/cache/0e/fe/0efe86960cdff718aed01a5c3f65b1c3.jpg,07-Jun-2022 14:24:51
The Marriage of Opposites,Historical Fiction,28.08,Four,In stock,https://books.toscrape.com/media/cache/0f/c2/0fc21ec3489cb23116778ee84f425eca.jpg,07-Jun-2022 14:24:51
Glory over Everything: Beyond The Kitchen House,Historical Fiction,45.84,Three,In stock,https://books.toscrape.com/media/cache/96/41/964194a317f8ce5ed031bf4c9ceb43ab.jpg,07-Jun-2022 14:24:51
"Love, Lies and Spies",Historical Fiction,20.55,Two,In stock,https://books.toscrape.com/media/cache/7a/22/7a224a6e174af91950e9b124afe54e0e.jpg,07-Jun-2022 14:24:51
A Paris Apartment,Historical Fiction,39.01,Four,In stock,https://books.toscrape.com/media/cache/16/57/16575316618bd7e922d5b0e0f87de2ca.jpg,07-Jun-2022 14:24:51
Lilac Girls,Historical Fiction,17.28,Two,In stock,https://books.toscrape.com/media/cache/6c/2e/6c2e764e3ea89859b52df8de4f12af7a.jpg,07-Jun-2022 14:24:51
The Constant Princess (The Tudor Court #1),Historical Fiction,16.62,Three,In stock,https://books.toscrape.com/media/cache/fc/80/fc80b999ff4b8ef24b7071f62d2bf6d1.jpg,07-Jun-2022 14:24:51
The Invention of Wings,Historical Fiction,37.34,One,In stock,https://books.toscrape.com/media/cache/62/fa/62fa1e72f06f05762db5d9cedf654153.jpg,07-Jun-2022 14:24:51
World Without End (The Pillars of the Earth #2),Historical Fiction,32.97,Four,In stock,https://books.toscrape.com/media/cache/be/7c/be7ce6fbc9a8e1a5a5b5c32e73cfd78a.jpg,07-Jun-2022 14:24:51
The Passion of Dolssa,Historical Fiction,28.32,Five,In stock,https://books.toscrape.com/media/cache/6b/82/6b822681c4035131560d40dd3b5a6a2e.jpg,07-Jun-2022 14:24:51
Girl With a Pearl Earring,Historical Fiction,26.77,One,In stock,https://books.toscrape.com/media/cache/b7/ad/b7ad37d93d8401c84d7325aa645ff6d5.jpg,07-Jun-2022 14:24:51
Voyager (Outlander #3),Historical Fiction,21.07,Five,In stock,https://books.toscrape.com/media/cache/b5/d8/b5d813da01f2ccd7bcfe34e2b875e752.jpg,07-Jun-2022 14:24:51
